zipCode,CountyName,month,zori
93940,Monterey County,2019-05,1879.453994669285
95032,Santa Clara County,2019-05,3413.7209514287333
90291,Los Angeles County,2019-05,3051.026456719121
93950,Monterey County,2019-05,2101.197782405779
93906,Monterey County,2019-06,1641.7215164291456
95037,Santa Clara County,2019-06,2910.930919801102
95060,Santa Cruz County,2019-06,2494.1223953754093
95050,Santa Clara County,2019-06,2861.6601306698144
93940,Monterey County,2019-06,1893.2173177388552
95032,Santa Clara County,2019-06,3390.9265939955467
90291,Los Angeles County,2019-06,3080.8242992550795
93950,Monterey County,2019-06,2123.1858109372597
93906,Monterey County,2019-07,1661.117491263487
95037,Santa Clara County,2019-07,2945.1171933046776
95060,Santa Cruz County,2019-07,2506.851410632117
95050,Santa Clara County,2019-07,2868.7745348314033
93940,Monterey County,2019-07,1926.236053451574
95032,Santa Clara County,2019-07,3396.3230859121686
90291,Los Angeles County,2019-07,3120.994815281309
93950,Monterey County,2019-07,2145.2694583047646
93906,Monterey County,2019-08,1651.498247153334
95037,Santa Clara County,2019-08,2988.2270224120903
95060,Santa Cruz County,2019-08,2455.363533359438
95050,Santa Clara County,2019-08,2880.7802183089193
93940,Monterey County,2019-08,1932.7142530896003
95032,Santa Clara County,2019-08,3439.334075379605
90291,Los Angeles County,2019-08,3092.6767966906013
93950,Monterey County,2019-08,2136.9821238711834
93906,Monterey County,2019-09,1655.9718049355054
95037,Santa Clara County,2019-09,2969.045844359747
95060,Santa Cruz County,2019-09,2442.873373844473
95050,Santa Clara County,2019-09,2910.0277317110076
93940,Monterey County,2019-09,1943.9070602513525
95032,Santa Clara County,2019-09,3454.5204054697588
90291,Los Angeles County,2019-09,3097.5133962908444
93950,Monterey County,2019-09,2100.797706329394
93906,Monterey County,2019-10,1641.7110999141305
95037,Santa Clara County,2019-10,2943.692014366713
95060,Santa Cruz County,2019-10,2398.028043380659
95050,Santa Clara County,2019-10,2904.918036305917
93940,Monterey County,2019-10,1924.846660821031
95032,Santa Clara County,2019-10,3532.768468480142
90291,Los Angeles County,2019-10,3091.107436949658
93950,Monterey County,2019-10,2086.657701184702
93906,Monterey County,2019-11,1645.0470191648144
95037,Santa Clara County,2019-11,2902.874015179246
95060,Santa Cruz County,2019-11,2369.402280411342
95050,Santa Clara County,2019-11,2887.2756110279183
93940,Monterey County,2019-11,1938.212307845437
95032,Santa Clara County,2019-11,3536.1429775958354
90291,Los Angeles County,2019-11,3068.083099424776
93950,Monterey County,2019-11,2061.6892349294676
93906,Monterey County,2019-12,1626.1102984249517
95037,Santa Clara County,2019-12,2917.9358343895497
95060,Santa Cruz County,2019-12,2400.9596093948785
95050,Santa Clara County,2019-12,2898.5480217313543
93940,Monterey County,2019-12,1952.487311634426
95032,Santa Clara County,2019-12,3530.741486499229
90291,Los Angeles County,2019-12,3052.3593908444677
93950,Monterey County,2019-12,2098.334172875178
93906,Monterey County,2020-01,1630.318949850856
95037,Santa Clara County,2020-01,2912.295476034347
95060,Santa Cruz County,2020-01,2491.9080191571907
95050,Santa Clara County,2020-01,2874.414798031901
93940,Monterey County,2020-01,1959.6038298870303
95032,Santa Clara County,2020-01,3484.8652847175385
90291,Los Angeles County,2020-01,3006.897749839531
93950,Monterey County,2020-01,2119.0159909555355
93906,Monterey County,2020-02,1619.1574074292569
95037,Santa Clara County,2020-02,2973.815819099724
95060,Santa Cruz County,2020-02,2592.416905966143
95050,Santa Clara County,2020-02,2854.413577396944
93940,Monterey County,2020-02,1943.3375842841356
95032,Santa Clara County,2020-02,3464.0491119578246
90291,Los Angeles County,2020-02,3032.266487154681
