GEOID,tract_median_hh_income,tract_median_gross_rent,tract_pct_renter,tract_pop_density_sqmi,tract_population
06085501601,120770.0,2420.0,0.6948915325402379,11786.571491730374,3558.0
06085501602,58466.0,1855.0,0.9214703425229741,17282.538076387915,2911.0
06085501700,94736.0,2395.0,0.7608550434201736,11307.487890008659,4871.0
06085501800,142235.0,2358.0,0.4598961338718984,8676.42808058169,4786.0
06085501901,147727.0,2748.0,0.7191697191697192,13544.154587392162,3126.0
06085501902,151140.0,2723.0,0.8034557235421166,8804.32813369979,3619.0
06085502001,94794.0,2300.0,0.5372750642673522,9624.382409428248,4956.0
06085502002,117969.0,2557.0,0.725609756097561,14345.305701805068,4985.0
06085502101,144038.0,3039.0,0.37729468599033816,7252.344950053355,5361.0
06085502103,91591.0,2152.0,0.75,10625.961115809938,4225.0
06085502104,102105.0,2909.0,0.6893787575150301,8265.615546082814,2459.0
06085502202,113958.0,2904.0,0.5160390516039052,7314.422120344918,3150.0
06085502203,125750.0,2546.0,0.658157602663707,15586.902556271518,3875.0
06085502204,68508.0,2293.0,1.0,26545.530342719954,3394.0
06085502301,177692.0,2372.0,0.3850877192982456,6375.657953208178,3021.0
06085502302,127175.0,2308.0,0.660377358490566,12527.460492453964,3261.0
06085502400,222311.0,2871.0,0.2906238326484871,6869.120752392077,7107.0
06085502500,225694.0,3207.0,0.19402985074626866,7000.290296089352,6748.0
06085502601,193125.0,3501.0,0.3536148890479599,6113.113960353709,3329.0
06085502603,206125.0,2315.0,0.204311152764761,5975.801946562446,2816.0
06085502604,110581.0,2688.0,0.7162097162097162,8312.284277980707,4112.0
06085502701,133658.0,2383.0,0.4992934526613283,8523.45678051999,5691.0
06085502703,145541.0,2887.0,0.42298578199052134,7953.602571495357,4296.0
06085502704,183214.0,2773.0,0.3485824742268041,6771.179615384615,4265.0
06085502800,185962.0,3142.0,0.2489539748953975,6247.310664352508,4236.0
06085502901,135846.0,2540.0,0.40542986425339367,8315.500512266965,6044.0
06085502902,207614.0,3501.0,0.14944834503510532,8917.809599639322,9050.0
06085502903,250001.0,3501.0,0.11082070047046524,7315.348049999203,5318.0
06085502906,126438.0,2863.0,0.4248642124321062,8420.868446575725,5021.0
06085502907,213056.0,3501.0,0.2070254110612855,7909.33374382666,3822.0
06085502908,166382.0,2153.0,0.2568232662192394,8171.69643513006,6561.0
06085502909,101607.0,2422.0,0.5288270377733598,9655.285168802555,4812.0
06085502910,110091.0,2305.0,0.5572413793103448,8260.178073772046,3785.0
06085503001,148750.0,3501.0,0.1686967113276492,6640.476276554185,4430.0
06085503002,139863.0,2319.0,0.3006134969325153,6953.432421003419,3635.0
06085503003,207000.0,3501.0,0.12080536912751678,6715.340594932498,5027.0
06085503105,61838.0,1625.0,0.6844319775596073,2965.683623592724,2012.0
06085503110,77353.0,1892.0,0.7041036717062635,12238.151777682846,3617.0
06085503111,133628.0,3221.0,0.39269813000890474,15502.674171680457,5418.0
06085503112,76156.0,2110.0,0.7034845496383958,9061.724820801124,3978.0
06085503113,95625.0,2048.0,0.6284403669724771,14323.550557264149,4028.0
06085503116,109509.0,3138.0,0.421455938697318,14511.872744503371,6396.0
06085503117,79205.0,2247.0,0.687218045112782,13425.722993198633,2602.0
06085503118,98527.0,2770.0,0.6165980795610425,22671.3123540136,4955.0
06085503121,92607.0,1768.0,0.6494051784464661,6122.512451924868,5073.0
