month,zori_region,deflator_to_ref
2019-01,2721.9532775455327,1.2686158861982157
2019-02,2591.820742600903,1.3323117268975748
2019-03,2629.936998457544,1.3130022397528198
2019-04,2633.125004049225,1.3114125474762341
2019-05,2657.7533063556402,1.299260228978338
2019-06,2677.891263022612,1.2894896880487734
2019-07,2687.81297273176,1.2847297056811176
2019-08,2668.0718758341786,1.2942354367061195
2019-09,2676.45055277774,1.2901838092244104
2019-10,2651.473039843288,1.3023376506169022
2019-11,2628.33894571963,1.3138005564339852
2019-12,2649.7538155631164,1.3031826387425052
2020-01,2683.1614085945457,1.286956930105939
2020-02,2723.4152416815436,1.267934876964071
2020-03,2699.0014381609526,1.2794039753222393
2020-04,2669.805921052661,1.2933948277491487
2020-05,2650.502755449109,1.3028144046575263
2020-06,2621.969117931765,1.3169923115293642
2020-07,2617.3214533141045,1.3193309385101182
2020-08,2616.2404589992207,1.3198760677772212
2020-09,2621.3854242212683,1.3172855610919465
2020-10,2598.698890711821,1.3287854093929699
2020-11,2568.034692199513,1.3446520718246155
2020-12,2563.6912772068335,1.3469301862062595
2021-01,2557.8728716229334,1.3499940547055465
2021-02,2580.5520288577195,1.338129644652847
2021-03,2577.545834658794,1.3396903065511052
2021-04,2621.5194321069603,1.3172182235583267
2021-05,2631.0505991180808,1.3124465073157603
2021-06,2665.7004766372434,1.2953867846921925
2021-07,2698.11813297134,1.2798228243552758
2021-08,2788.2900660729506,1.2384339819590418
2021-09,2838.4812100608806,1.2165355039674546
2021-10,2956.135506995882,1.1681173482107137
2021-11,2905.6309761417247,1.1884211029333187
2021-12,2905.942553877718,1.188293679369434
2022-01,2984.313152522572,1.1570880778596326
2022-02,2994.6087029529494,1.1531099759305743
2022-03,2987.489641432656,1.1558577882558339
2022-04,2979.849107770682,1.1588214854164025
2022-05,3027.7350347243064,1.1404938443360155
2022-06,3004.916374748057,1.149154498408657
2022-07,3050.616978021049,1.1319392746655519
2022-08,2843.8718073568193,1.214229544542302
2022-09,2849.7187714289803,1.2117382262432912
2022-10,2842.9121496732387,1.2146394216861258
2022-11,2833.290704170452,1.2187641615104183
2022-12,2853.860545483191,1.2099796448879785
2023-01,2873.442103040634,1.2017340338020142
2023-02,2890.4333150557673,1.19466972353138
2023-03,2861.1358102761633,1.206902921902984
2023-04,3049.574898230081,1.1323260731807863
2023-05,2977.828635526954,1.1596077518317316
2023-06,2989.526878033952,1.1550701198761213
2023-07,3013.250066444845,1.145976302410801
2023-08,3024.250296770465,1.1418079955455647
2023-09,3024.9817221544868,1.141531912108265
2023-10,3010.465251037289,1.1470363818993612
2023-11,2964.1228373620365,1.1649696584291058
2023-12,2972.05675131277,1.1618597686125305
2024-01,2967.1572249565893,1.1637782926835245
2024-02,3112.453134079122,1.1094506553607055
2024-03,3016.8323193558585,1.1446155449968323
2024-04,3070.601434938505,1.1245722515767402
2024-05,3097.637263785711,1.1147571117359996
2024-06,3124.3698328046094,1.1052190855023893
2024-07,3165.3654326356395,1.0909050606862574
2024-08,3176.381314385559,1.0871217362174717
2024-09,3203.4267667940044,1.0779435338362506
2024-10,3182.317972159899,1.0850936957251545
2024-11,3177.7918117031113,1.0866392054591192
2024-12,3136.54110572439,1.1009303092127214
2025-01,3143.4326012184097,1.0985166877906403
2025-02,3142.9075357934826,1.098700209935309
2025-03,3133.6876705189993,1.1019327809435653
2025-04,3158.5026386281297,1.093275379020546
